participant,base_uuid,unique_uuid,group,num_points,hull_count,hull_contiguous,hull_switches,hull_segment_length,hull_first_position,adherence_score
10036,d76e3b17-76c3-468d-b775-9b228eb1301a,3ff1a2bc-dff9-44d3-91c3-5c81ffeaffae,clustered,15,7,False,8,2,0,0.4285714285714286
10036,0fed7bdc-a343-4966-b202-69661c45fdb2,36260c82-95b5-4e69-a9b2-6fc6b2cc5884,disperse,15,8,False,6,3,0,0.625
10036,8b3ef66f-dce6-4ac1-b5c9-401d17608f2a,12c7c9f8-7585-4b5d-bc7d-0c9189660730,disperse,10,6,False,6,3,0,0.5
10036,7cb9e4fa-5385-40fc-bc08-a1bc58f339f1,25a9e2ba-4a0a-48e5-b625-b54330481d00,clustered,15,7,False,10,2,0,0.2857142857142857
10036,81f137aa-33f3-4039-afb0-94c378c7f246,329661e6-7f43-4c69-918f-5d4740f68b90,clustered,10,6,False,4,3,0,0.6666666666666667
10036,2549fb3d-39ec-4ed0-86af-bb0f2f473e68,c7f32f8e-ede0-4d7a-baf8-6e647ffc9620,disperse,15,8,False,10,2,0,0.375
10036,afa7ca48-bf45-4cbb-a9c4-78908f2814fb,c718fc11-8702-4ed8-a78a-513881e0f814,clustered,10,6,False,6,3,0,0.5
10036,53b26982-d905-4128-8b13-964e0a3defeb,794b7a1e-f368-4eda-94fd-ebe716c5a427,clustered,15,9,False,8,3,0,0.5555555555555556
10036,ae2e1a70-43a2-4d30-9134-5f19361b5e18,2aebdbed-72cf-4200-a051-6f2e6350b80e,clustered,10,5,False,4,3,0,0.6
10036,6e8c910b-843f-482c-81ee-8e217e0396db,4bcc64af-ab87-4531-8661-77eec37c5660,clustered,10,6,False,6,4,0,0.5
10036,7e50e83d-e9ea-45bd-858e-15fc4e073fae,ca90c5cc-29e3-43c4-a8ab-eab0a13205bf,disperse,10,4,False,6,2,0,0.25
10036,f872534c-e80e-4e92-9fa5-40845139e45c,d0dd0720-4a0b-426e-8ba1-dad440236f1c,disperse,15,7,False,8,3,0,0.4285714285714286
10036,154207c9-e80a-40d6-9644-9d60a8d430c2,302f31e1-0994-4e07-aada-c12e1760d1c3,disperse,15,11,False,4,7,0,0.8181818181818181
10036,e3921989-bb6b-4af9-a93c-dfea0cac640a,f25e717c-613b-49f0-9c1a-6c701a98ac12,clustered,20,8,False,10,3,0,0.375
